fy,abbr,state,County,County 2,"County, State",type,count,avgWage,MedianWageByCounty
FY 2020,AL,Alabama,Jefferson County,Jefferson,"Jefferson, AL",Active Apprentices,943.0,14.20,12.68
FY 2020,AL,Alabama,Colbert County,Colbert,"Colbert, AL",Active Apprentices,416.0,14.45,12.24
FY 2020,AL,Alabama,Shelby County,Shelby,"Shelby, AL",Active Apprentices,360.0,17.83,17.53
FY 2020,AL,Alabama,Mobile County,Mobile,"Mobile, AL",Active Apprentices,340.0,15.25,14.48
FY 2020,AL,Alabama,Madison County,Madison,"Madison, AL",Active Apprentices,289.0,14.89,14.50
FY 2020,AL,Alabama,Montgomery County,Montgomery,"Montgomery, AL",Active Apprentices,145.0,13.70,12.50
FY 2020,AL,Alabama,Lauderdale County,Lauderdale,"Lauderdale, AL",Active Apprentices,129.0,17.28,17.27
FY 2020,AL,Alabama,Tuscaloosa County,Tuscaloosa,"Tuscaloosa, AL",Active Apprentices,120.0,16.36,17.34
FY 2020,AL,Alabama,Baldwin County,Baldwin,"Baldwin, AL",Active Apprentices,76.0,16.04,15.00
FY 2020,AL,Alabama,Talladega County,Talladega,"Talladega, AL",Active Apprentices,69.0,21.65,16.00
FY 2020,AL,Alabama,Lee County,Lee,"Lee, AL",Active Apprentices,30.0,12.22,12.00
FY 2020,AL,Alabama,Sumter County,Sumter,"Sumter, AL",Active Apprentices,25.0,11.58,11.58
FY 2020,AL,Alabama,Dallas County,Dallas,"Dallas, AL",Active Apprentices,14.0,25.00,25.00
FY 2020,AL,Alabama,Limestone County,Limestone,"Limestone, AL",Active Apprentices,13.0,18.46,19.00
FY 2020,AL,Alabama,DeKalb County,DeKalb,"DeKalb, AL",Active Apprentices,13.0,13.98,15.00
FY 2020,AL,Alabama,Morgan County,Morgan,"Morgan, AL",Active Apprentices,10.0,16.33,16.00
FY 2020,AL,Alabama,Calhoun County,Calhoun,"Calhoun, AL",Active Apprentices,0.0,19.68,19.13
FY 2020,AL,Alabama,Pickens County,Pickens,"Pickens, AL",Active Apprentices,0.0,,0.12
FY 2020,AL,Alabama,Covington County,Covington,"Covington, AL",Active Apprentices,0.0,13.50,13.50
FY 2020,AL,Alabama,Bibb County,Bibb,"Bibb, AL",Active Apprentices,0.0,12.00,12.00
FY 2020,AL,Alabama,Greene County,Greene,"Greene, AL",Active Apprentices,0.0,8.00,8.00
FY 2020,AL,Alabama,Cullman County,Cullman,"Cullman, AL",Active Apprentices,0.0,19.00,19.00
FY 2021,AL,Alabama,Jefferson County,Jefferson,"Jefferson, AL",Active Apprentices,716.0,15.37,14.86
FY 2021,AL,Alabama,Colbert County,Colbert,"Colbert, AL",Active Apprentices,440.0,14.45,14.00
FY 2021,AL,Alabama,Mobile County,Mobile,"Mobile, AL",Active Apprentices,294.0,15.04,14.48
FY 2021,AL,Alabama,Madison County,Madison,"Madison, AL",Active Apprentices,247.0,15.05,15.00
FY 2021,AL,Alabama,Shelby County,Shelby,"Shelby, AL",Active Apprentices,200.0,17.97,17.53
FY 2021,AL,Alabama,Montgomery County,Montgomery,"Montgomery, AL",Active Apprentices,180.0,13.61,12.00
FY 2021,AL,Alabama,Baldwin County,Baldwin,"Baldwin, AL",Active Apprentices,160.0,13.77,13.50
FY 2021,AL,Alabama,Tuscaloosa County,Tuscaloosa,"Tuscaloosa, AL",Active Apprentices,104.0,16.38,17.34
FY 2021,AL,Alabama,Lauderdale County,Lauderdale,"Lauderdale, AL",Active Apprentices,100.0,17.28,16.80
FY 2021,AL,Alabama,Talladega County,Talladega,"Talladega, AL",Active Apprentices,73.0,21.65,16.00
FY 2021,AL,Alabama,Lee County,Lee,"Lee, AL",Active Apprentices,30.0,12.40,12.00
FY 2021,AL,Alabama,Sumter County,Sumter,"Sumter, AL",Active Apprentices,26.0,11.52,11.50
FY 2021,AL,Alabama,Limestone County,Limestone,"Limestone, AL",Active Apprentices,23.0,18.22,17.24
FY 2021,AL,Alabama,Morgan County,Morgan,"Morgan, AL",Active Apprentices,13.0,19.02,18.00
FY 2021,AL,Alabama,Conecuh County,Conecuh,"Conecuh, AL",Active Apprentices,10.0,12.61,12.75
FY 2021,AL,Alabama,Pickens County,Pickens,"Pickens, AL",Active Apprentices,0.0,,0.12
FY 2021,AL,Alabama,DeKalb County,DeKalb,"DeKalb, AL",Active Apprentices,0.0,14.47,15.00
