fy,abbr,state,County,County 2,"County, State",Local Board,type,count,aveWage,MedianWageByCounty
FY 2020,AL,Alabama,* State Total,* State Total,"* State Total, AL",State,Active Apprentices,3011,15.30,15.00
FY 2021,AL,Alabama,* State Total,* State Total,"* State Total, AL",State,Active Apprentices,2659,15.37,14.48
FY 2022,AL,Alabama,* State Total,* State Total,"* State Total, AL",State,Active Apprentices,2665,15.97,15.00
FY 2023,AL,Alabama,* State Total,* State Total,"* State Total, AL",State,Active Apprentices,3374,16.91,15.00
FY 2024,AL,Alabama,* State Total,* State Total,"* State Total, AL",State,Active Apprentices,4063,17.69,15.00
FY 2025,AL,Alabama,* State Total,* State Total,"* State Total, AL",State,Active Apprentices,4204,18.16,16.00
FY 2026,AL,Alabama,* State Total,* State Total,"* State Total, AL",State,Active Apprentices,4237,18.30,16.00
FY 2020,AK,Alaska,* State Total,* State Total,"* State Total, AK",State,Active Apprentices,1765,20.83,20.00
FY 2021,AK,Alaska,* State Total,* State Total,"* State Total, AK",State,Active Apprentices,1854,20.81,20.00
FY 2022,AK,Alaska,* State Total,* State Total,"* State Total, AK",State,Active Apprentices,1946,21.48,20.83
FY 2023,AK,Alaska,* State Total,* State Total,"* State Total, AK",State,Active Apprentices,1989,22.20,21.68
FY 2024,AK,Alaska,* State Total,* State Total,"* State Total, AK",State,Active Apprentices,2174,23.21,24.32
FY 2025,AK,Alaska,* State Total,* State Total,"* State Total, AK",State,Active Apprentices,2436,24.93,25.00
FY 2026,AK,Alaska,* State Total,* State Total,"* State Total, AK",State,Active Apprentices,2470,25.27,25.00
FY 2020,AZ,Arizona,* State Total,* State Total,"* State Total, AZ",State,Active Apprentices,5076,17.26,18.13
FY 2021,AZ,Arizona,* State Total,* State Total,"* State Total, AZ",State,Active Apprentices,4996,17.64,16.68
FY 2022,AZ,Arizona,* State Total,* State Total,"* State Total, AZ",State,Active Apprentices,5535,18.26,17.15
FY 2023,AZ,Arizona,* State Total,* State Total,"* State Total, AZ",State,Active Apprentices,6878,18.81,17.90
FY 2024,AZ,Arizona,* State Total,* State Total,"* State Total, AZ",State,Active Apprentices,8111,19.73,19.15
FY 2025,AZ,Arizona,* State Total,* State Total,"* State Total, AZ",State,Active Apprentices,8948,20.09,19.19
FY 2026,AZ,Arizona,* State Total,* State Total,"* State Total, AZ",State,Active Apprentices,9656,20.52,21.00
FY 2020,AR,Arkansas,* State Total,* State Total,"* State Total, AR",State,Active Apprentices,5714,13.14,12.00
FY 2021,AR,Arkansas,* State Total,* State Total,"* State Total, AR",State,Active Apprentices,6617,13.47,12.00
FY 2022,AR,Arkansas,* State Total,* State Total,"* State Total, AR",State,Active Apprentices,7133,14.07,13.00
FY 2023,AR,Arkansas,* State Total,* State Total,"* State Total, AR",State,Active Apprentices,7734,15.08,14.00
FY 2024,AR,Arkansas,* State Total,* State Total,"* State Total, AR",State,Active Apprentices,9873,16.23,15.00
FY 2025,AR,Arkansas,* State Total,* State Total,"* State Total, AR",State,Active Apprentices,9697,16.40,15.00
FY 2026,AR,Arkansas,* State Total,* State Total,"* State Total, AR",State,Active Apprentices,9323,16.56,15.00
FY 2020,CA,California,* State Total,* State Total,"* State Total, CA",State,Active Apprentices,73838,20.32,17.33
FY 2021,CA,California,* State Total,* State Total,"* State Total, CA",State,Active Apprentices,72059,20.50,17.68
