level,state,board_name,quarter,total,adult,dw,youth,ra,ra_adult,ra_dw,ra_youth,ojt,ra_ojt,ita,ra_ita,ss,ra_ss
state,AK,AK,PY20_Q1,783,263,123,365,56,18,43,0,8,2,294,27,379,41
state,AK,AK,PY20_Q2,817,265,117,370,54,20,38,1,7,2,285,20,378,40
state,AK,AK,PY20_Q3,916,301,123,446,73,29,46,2,7,3,292,24,428,55
state,AK,AK,PY20_Q4,1003,330,113,547,132,88,44,4,5,3,242,24,409,86
state,AK,AK,PY21_Q1,849,322,81,432,85,55,30,3,5,2,278,34,394,67
state,AK,AK,PY21_Q2,843,350,75,429,105,64,37,6,4,1,289,44,399,86
state,AK,AK,PY21_Q3,933,414,98,442,128,75,56,5,5,2,323,59,434,95
state,AK,AK,PY21_Q4,985,431,98,477,157,105,56,5,4,2,302,76,472,123
state,AK,AK,PY22_Q1,922,358,88,494,149,105,49,3,1,1,318,83,437,123
state,AK,AK,PY22_Q2,929,327,121,501,180,113,71,5,3,2,305,103,448,155
state,AK,AK,PY22_Q3,990,326,136,543,198,108,92,6,3,2,314,113,459,175
state,AK,AK,PY22_Q4,1143,412,171,576,270,202,129,6,3,2,358,151,497,237
state,AK,AK,PY23_Q1,1122,455,186,494,255,133,127,3,2,2,475,171,589,216
state,AK,AK,PY23_Q2,1113,457,218,451,278,133,149,3,2,2,503,187,591,231
state,AK,AK,PY23_Q3,1155,483,244,444,300,135,169,5,2,2,532,193,611,241
state,AK,AK,PY23_Q4,1198,538,222,453,313,164,152,4,2,1,495,198,546,232
board,AK,Alaska Workforce Investment Board (AK),PY20_Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,AK,Alaska Workforce Investment Board (AK),PY20_Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,AK,Alaska Workforce Investment Board (AK),PY20_Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,AK,Alaska Workforce Investment Board (AK),PY20_Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,AK,Anchorage/Mat-Su Local Workforce Investment Area,PY23_Q1,624,280,92,256,161,101,61,2,0,0,314,115,293,143
board,AK,Anchorage/Mat-Su Local Workforce Investment Area,PY23_Q2,603,285,108,214,175,105,71,3,0,0,326,127,300,153
board,AK,Anchorage/Mat-Su Local Workforce Investment Area,PY23_Q3,664,306,121,245,194,112,83,5,0,0,341,129,318,158
board,AK,Anchorage/Mat-Su Local Workforce Investment Area,PY23_Q4,733,358,119,265,225,143,84,4,0,0,334,149,302,167
board,AK,Balance of State Local Workforce Investment Area,PY23_Q1,498,175,94,238,94,32,66,1,2,2,161,56,296,73
