fy,abbr,state,County,County 2,"County, State",Local Board,type,count,aveWage,MedianWageByCounty
FY 2025,AL,Alabama,* State Total,* State Total,"* State Total, AL",State,Active Apprentices,4339,17.76319332,16.77
FY 2025,AK,Alaska,* State Total,* State Total,"* State Total, AK",State,Active Apprentices,2316,23.54060225,23.21
FY 2025,AS,American Samoa,* State Total,* State Total,"* State Total, AS",State,Active Apprentices,1,7.25,7.25
FY 2025,AZ,Arizona,* State Total,* State Total,"* State Total, AZ",State,Active Apprentices,8641,19.96839146,18.94
FY 2025,AR,Arkansas,* State Total,* State Total,"* State Total, AR",State,Active Apprentices,10679,16.02145808,15
FY 2025,CA,California,* State Total,* State Total,"* State Total, CA",State,Active Apprentices,77774,22.01035805,20.79
FY 2025,CO,Colorado,* State Total,* State Total,"* State Total, CO",State,Active Apprentices,8036,21.66308631,20
FY 2025,CT,Connecticut,* State Total,* State Total,"* State Total, CT",State,Active Apprentices,6583,27.27514706,20.39
FY 2025,DE,Delaware,* State Total,* State Total,"* State Total, DE",State,Active Apprentices,1751,18.53672858,17.93
FY 2025,DC,District of Columbia,* State Total,* State Total,"* State Total, DC",State,Active Apprentices,1931,22.70836164,18.94
FY 2025,FL,Florida,* State Total,* State Total,"* State Total, FL",State,New Apprentices,9726,21.72965659,20
FY 2025,FL,Florida,* State Total,* State Total,"* State Total, FL",State,Active Apprentices,19746,20.51916074,19
FY 2025,FL,Florida,* State Total,* State Total,"* State Total, FL",State,Completer Apprentices,3312,29.558987,29.675
FY 2024,FL,Florida,* State Total,* State Total,"* State Total, FL",State,New Apprentices,9414,20.94412348,19.37
FY 2024,FL,Florida,* State Total,* State Total,"* State Total, FL",State,Active Apprentices,17971,19.74590884,18
FY 2024,FL,Florida,* State Total,* State Total,"* State Total, FL",State,Completer Apprentices,2378,27.31879645,26.39
FY 2023,FL,Florida,* State Total,* State Total,"* State Total, FL",State,New Apprentices,7248,20.06030752,18.06
FY 2023,FL,Florida,* State Total,* State Total,"* State Total, FL",State,Active Apprentices,14575,18.30905365,17
FY 2023,FL,Florida,* State Total,* State Total,"* State Total, FL",State,Completer Apprentices,2218,26.81320202,25.98
FY 2022,FL,Florida,* State Total,* State Total,"* State Total, FL",State,New Apprentices,5823,17.65566021,16.35
